feature,pearson,spearman,p_value,abs_r
Dif_gauss_total,0.43410656079642035,0.44300466067912464,1.209107058811865e-10,0.43410656079642035
gauss_total_7F,-0.3970283388011697,-0.38613363454243627,5.367058728766255e-09,0.3970283388011697
Rel_hydrophobic_total,0.38892989966553665,0.40988256816488183,1.157350371697001e-08,0.38892989966553665
Dif_hydrophobic_total,0.3879654153907386,0.4128958180775694,1.2665239309561415e-08,0.3879654153907386
Dif_num_favorable_atoms,-0.37659916198398613,-0.37957050027378364,3.585667468371938e-08,0.37659916198398613
Rel_gauss_total,0.36336191017051406,0.3835646837459227,1.1469612001043899e-07,0.36336191017051406
CNN affinity_7F,0.34807767283557034,0.36612448764849786,4.1204174656213406e-07,0.34807767283557034
num_favorable_atoms_7F,0.3368063542132003,0.3284385404310885,1.014172994388377e-06,0.3368063542132003
Rel_num_favorable_atoms,-0.31938256629410744,-0.3094713180293438,3.8115287986346753e-06,0.31938256629410744
hydrophobic_total_7F,-0.307172510403637,-0.32188325103861165,9.187252179008322e-06,0.307172510403637
Rel_max_repulsion,-0.2215919951439387,-0.236838042511728,0.0015700662287122425,0.2215919951439387
Rel_W371_chi1_cos,-0.21550239886557837,-0.1878724086100162,0.002123442438877328,0.21550239886557837
CNN affinity_8Y,0.20805991861340592,0.2991761612314335,0.0030380120584624524,0.20805991861340592
W110_chi2_7F,-0.19477510547389768,-0.19356885067993632,0.005592248341338424,0.19477510547389768
Rel_hbond_total,0.1932206504717111,0.1682985154873398,0.005991661959837391,0.1932206504717111
W110_shift_7F,0.19154610702223426,0.1239690638759577,0.006450299174713956,0.19154610702223426
Dif_max_repulsion,-0.19051209556969584,-0.24084560575428918,0.006748917120024276,0.19051209556969584
Dif_hbond_total,0.18791387552620892,0.1568878446917328,0.007554380408380756,0.18791387552620892
R132_D131_min_dist_7F,0.18404779442540758,0.17228086344515425,0.008911393080219295,0.18404779442540758
Dif_intamol,-0.17960463366735963,-0.24179033893775542,0.010734216168920098,0.17960463366735963
